Month,#Passengers
2004-12,10000
2005-01,10809.370653759734
2005-02,10493.056980562405
2005-03,10654.189717305491
2005-04,11077.842075407398
2005-05,11999.6405692628
2005-06,12483.031005808383
2005-07,12106.235168677877
2005-08,12410.054007169243
2005-09,12113.923850024325
2005-10,11869.673956554618
2005-11,12212.251265474677
2005-12,12528.11144697723
2006-01,12041.958738500429
2006-02,12436.663532770406
2006-03,11642.565619509887
2006-04,10924.370287925725
2006-05,10652.387770509453
2006-06,10885.360710185887
2006-07,11063.844692312614
2006-08,11348.269204718572
2006-09,11733.764444702038
2006-10,11805.841011428185
2006-11,11621.836322449646
2006-12,11322.535252702593
2007-01,11389.546813334902
2007-02,11563.495249123021
2007-03,11265.366234629859
2007-04,11124.764160261488
2007-05,11003.577180354701
2007-06,10846.317013699334
2007-07,11026.565126067542
2007-08,11236.013464058806
2007-09,10892.171914565737
2007-10,10863.329071226117
2007-11,11190.810756289091
2007-12,11170.446275949495
2008-01,11291.578671174851
2008-02,11035.99401619919
2008-03,10789.665851365537
2008-04,10710.863111410386
2008-05,10446.759597148493
2008-06,10540.872822168183
2008-07,10576.85254170828
2008-08,11547.758420892285
2008-09,12093.833769919447
2008-10,13310.651340124794
2008-11,15242.174785378827
2008-12,15805.379246945846
2009-01,14916.759019882411
2009-02,14886.15276040921
2009-03,14737.092424325552
2009-04,13759.300136086295
2009-05,12487.204445419007
2009-06,12571.213174912977
2009-07,12609.573554814187
2009-08,12792.435549630545
2009-09,12771.781025669892
2009-10,12325.254165332482
2009-11,12270.701942242758
2009-12,11995.67900648252
2010-01,12700.1868142295
2010-02,13080.649799057204
2010-03,12846.588637471246
2010-04,13438.613051023503
2010-05,15295.9805563484
2010-06,16185.942760153659
2010-07,15150.135218498435
2010-08,16827.935282496233
2010-09,15279.195058610656
2010-10,14352.09727044764
2010-11,15107.23714939391
2010-12,14148.911778731203
2011-01,13386.338683158534
2011-02,13446.74910537199
2011-03,13101.085649310517
2011-04,12772.72105617953
2011-05,13681.094594550834
2011-06,13307.186879127097
2011-07,14105.458673144578
2011-08,15304.057184180812
2011-09,18405.227605826716
2011-10,16961.00336035836
2011-11,18237.876073043037
2011-12,19565.283529970795
2012-01,19137.487792515498
2012-02,18331.546851463554
2012-03,17684.37742219858
2012-04,18696.92574957237
2012-05,21603.453888237065
2012-06,20978.432354460565
2012-07,22292.1814066256
2012-08,21435.510163079438
2012-09,20415.915919954467
2012-10,20299.140434552824
